title,URL,Published date,keywords,KW,picture,group
多囊性卵巢症飲食：少吃4食物避免荷爾蒙失調,https://www.everydayhealth.com.tw//article/12801,2019-04-22, 健康飲食 多囊性卵巢症候群 大豆 女性 肉桂 荷爾蒙 薑,多囊性卵巢症候群 大豆 女性 肉桂 荷爾蒙 薑,https://farm9.staticflickr.com/8297/28724055306_32a69e9e03_b.jpg,1
手掌出現這些症狀要注意！日院長教你找出血栓、心肌梗塞前兆！,https://www.everydayhealth.com.tw//article/13652,2017-01-09, 養生保健 血液循環 血管 心血管 心肌梗塞 腦梗塞,血液循環 血管 心血管 心肌梗塞 腦梗塞,https://farm6.staticflickr.com/5735/30481480433_b1b11f80c9_b.jpg,2
半數暈眩因這病症！醫師推3動作，2周改善9成,https://www.everydayhealth.com.tw//article/17618,2018-01-13, 其他身心健康 暈眩 耳石 耳鳴 淋巴 梅尼爾氏症,暈眩 耳石 耳鳴 淋巴 梅尼爾氏症,https://c1.staticflickr.com/5/4655/39581439252_85c40abf83_b.jpg,4
脊椎側彎怎麼辦？骨科權威醫師教你矯正脊椎,https://www.everydayhealth.com.tw//article/18843,2019-05-09, 養生保健 脊椎 脊椎側彎 核心肌群 穴道 穴道按摩,脊椎 脊椎側彎 核心肌群 穴道 穴道按摩,https://c1.staticflickr.com/1/979/41988217212_b5501db11b_b.jpg,5
髖關節炎走路痛，物理治療師：按壓5點改善髖部痛,https://www.everydayhealth.com.tw//article/18597,2018-03-31, 關節疼痛 按摩 髖關節 關節炎 關節 骨骼/關節/筋膜問題,按摩 髖關節 關節炎 關節 骨骼/關節/筋膜問題,https://c1.staticflickr.com/1/803/40379045564_d954abb8be_b.jpg,12
洗澡注意這件事，好睡眠幫大腦回春防失智,https://www.everydayhealth.com.tw//article/15851,2017-11-24, 其他身心健康 睡眠 失智 健忘 大腦 泡澡 記憶 薰衣草,睡眠 失智 健忘 大腦 泡澡 記憶 薰衣草,https://c1.staticflickr.com/5/4583/38562760202_0b618859e3_b.jpg,21
急性咳嗽和久咳都適用！止咳4穴道有效緩和,https://www.everydayhealth.com.tw//article/10146,2019-05-30, 穴道導引 咳嗽 止咳 感冒 久咳 穴道 胃食道逆流,咳嗽 止咳 感冒 久咳 穴道 胃食道逆流,https://farm1.staticflickr.com/683/20941958659_d86a8f3ef2_b.jpg,8
96％痔瘡患者獲改善！醫師教6招治好痔瘡免開刀,https://www.everydayhealth.com.tw//article/20334,2019-05-29, 養生保健 痔瘡 便祕 促進血液循環 壓力 生活習慣 疲勞,痔瘡 便祕 促進血液循環 壓力 生活習慣 疲勞,https://c2.staticflickr.com/2/1946/31503584098_caec7556f2_b.jpg,23
顳顎關節痛怎麼辦？嘴巴張開會痛，試試3穴道緩顳顎關節痛,https://www.everydayhealth.com.tw//article/10367,2019-07-18, 穴道導引 顳顎關節症候群 咀嚼 磨牙 咬合不正 關節 頭痛 下巴,顳顎關節症候群 咀嚼 磨牙 咬合不正 關節 頭痛 下巴,https://farm2.staticflickr.com/1701/24309581455_99d8e042be_b.jpg,10
補鈣不一定要喝牛奶！4種高鈣食物鈣含量完勝牛奶,https://www.everydayhealth.com.tw//article/13670,2016-11-30, 健康飲食 骨質疏鬆 黑芝麻 豆腐 杏仁 秋葵 毛豆 鈣,骨質疏鬆 黑芝麻 豆腐 杏仁 秋葵 毛豆 鈣,https://farm6.staticflickr.com/5815/30488699914_8591eaba60_b.jpg,16
失眠治療免吃藥，專家15招讓失眠不藥而癒,https://www.everydayhealth.com.tw//article/18982,2019-05-30, 失眠問題 失眠 睡不好 睡眠品質 睡眠障礙,失眠 睡不好 睡眠品質 睡眠障礙,https://c1.staticflickr.com/1/877/41370158255_44c24318be_b.jpg,3
偏頭痛原因、治療，詳解偏頭痛6種改善方法,https://www.everydayhealth.com.tw//article/19111,2019-04-12, 頭痛/偏頭痛 偏頭痛 頭痛 症狀 治療 穴道按摩,偏頭痛 頭痛 症狀 治療 穴道按摩,https://c2.staticflickr.com/2/1748/40619429040_2720f9a477_b.jpg,10
針眼該熱敷、冰敷好？針眼快速痊癒實用5招防復發,https://www.everydayhealth.com.tw//article/13409,2018-09-27, 養生保健 針眼 熱敷 細菌 皮膚 洗手 眼睛,針眼 熱敷 細菌 皮膚 洗手 眼睛,https://farm6.staticflickr.com/5602/29831291894_7d977ee98e_b.jpg,27
流感、感冒比一比！全身倦怠、肌肉痠痛是流感徵兆,https://www.everydayhealth.com.tw//article/11386,2016-02-18, 養生保健 流感 感冒 梅子 漱口 發燒 肌肉 茶,流感 感冒 梅子 漱口 發燒 肌肉 茶,https://farm2.staticflickr.com/1453/25096985976_b2ccf9a07c_b.jpg,8
30秒盤腿伸展，骨盆正了、腰痛自然好,https://www.everydayhealth.com.tw//article/14112,2017-02-02, 腰痠背痛 腰痛 骨盆 肌肉 伸展操,腰痛 骨盆 肌肉 伸展操,https://farm1.staticflickr.com/486/32512528045_0745bbe84a_b.jpg,22
按摩大腿內側溫暖子宮！改善不孕腹瀉自律神經失調,https://www.everydayhealth.com.tw//article/11423,2016-03-30, 養生保健 不孕 子宮 按摩 經絡按摩 自律神經 自律神經失調 虛寒,不孕 子宮 按摩 經絡按摩 自律神經 自律神經失調 虛寒,https://farm2.staticflickr.com/1484/26058479536_b164bb3382_b.jpg,15
夏天手還是冷吱吱？橄欖油搭蔥蒜，解救寒冷體質除病根！,https://www.everydayhealth.com.tw//article/22159,2019-07-14, 健康飲食 橄欖油 手腳冰冷 貧血,橄欖油 手腳冰冷 貧血,https://live.staticflickr.com/65535/48263997172_18492e6fae_b.jpg,15
曾國城脖子長腫塊！醫師教判別癌症要點：這異狀80％有問題,https://www.everydayhealth.com.tw//article/22164,2019-07-12, 保健新聞 脖子 囊腫 淋巴 淋巴結 發炎,脖子 囊腫 淋巴 淋巴結 發炎,https://live.staticflickr.com/65535/48255776491_6175492ff0_b.jpg,4
「排卵痛」纏身？非生理期卻下腹痛，3招擺脫排卵痛,https://www.everydayhealth.com.tw//article/14778,2019-01-14, 養生保健 排卵痛 經痛/生理痛 三陰交 穴道按摩 女性,排卵痛 經痛/生理痛 三陰交 穴道按摩 女性,https://static.everydayhealth.com.tw/main/201703/33483424250_284ac745e9_b.jpg,9
腸躁症是什麼？4型腸躁症如何改善、根治腹瀉症狀？,https://www.everydayhealth.com.tw//article/10556,2019-05-09, 健康飲食 便祕 拉肚子 放屁 壓力 腸胃健康 腸躁症,便祕 拉肚子 放屁 壓力 腸胃健康 腸躁症,https://farm1.staticflickr.com/726/22106097698_3f00d68ba1_b.jpg,11
讓血管用到老！權威醫曝「護血管密碼」咖啡、洋蔥都上榜,https://www.everydayhealth.com.tw//article/22081,2019-07-11, 健康飲食 可可 綠原酸 咖啡 乳酪 洋蔥 心血管疾病,可可 綠原酸 咖啡 乳酪 洋蔥 心血管疾病,https://live.staticflickr.com/65535/48247968711_40bc8562b6_b.jpg,0
耳鼻喉科治不好的頭暈目眩，98％可以痊癒！,https://www.everydayhealth.com.tw//article/10332,2018-10-26, 頭痛/偏頭痛 耳鼻喉 伸展操 暈眩 頭暈,耳鼻喉 伸展操 暈眩 頭暈,https://farm1.staticflickr.com/770/20914844666_8cac47bee2_b.jpg,4
吃雞蛋防失智！醫師：配青花菜苗，再為腦力大加分,https://www.everydayhealth.com.tw//article/22082,2019-07-08, 健康飲食 蘿蔔硫素 失智症 預防失智 青花菜 雞蛋 健腦食物,蘿蔔硫素 失智症 預防失智 青花菜 雞蛋 健腦食物,https://live.staticflickr.com/65535/48203213416_7fb33ef915_b.jpg,21
頻尿其實是神經失調！按1穴道80％成功改善頻尿,https://www.everydayhealth.com.tw//article/18320,2018-03-07, 養生保健 憋尿 尿失禁 漏尿 頻尿 穴道,憋尿 尿失禁 漏尿 頻尿 穴道,https://c1.staticflickr.com/5/4699/26777835088_2a7df3a06e_b.jpg,22
下巴長痘是身體受寒！女性必知4招告別荷爾蒙失調,https://www.everydayhealth.com.tw//article/11443,2016-03-21, 養生保健 偏頭痛 頭痛 子宮 虛寒 抗痘 痘痘 內臟 腎臟 基礎代謝 新陳代謝,偏頭痛 頭痛 子宮 虛寒 抗痘 痘痘 內臟 腎臟 基礎代謝 新陳代謝,https://c2.staticflickr.com/2/1481/25219825574_644fb7e13e_b.jpg,10
吃魚可以防失智！鮮魚豆腐湯強肌力，為腦力大加持！,https://www.everydayhealth.com.tw//article/22076,2019-07-05, 健康飲食 沙丁魚 豆腐 蛋白質 植物性蛋白質 預防失智 失智症,沙丁魚 豆腐 蛋白質 植物性蛋白質 預防失智 失智症,https://live.staticflickr.com/65535/48195435757_60cd634344_b.jpg,21
喉嚨卡卡的是自律神經失調！1招抬頭呼吸就能改善,https://www.everydayhealth.com.tw//article/14280,2017-04-18, 養生保健 喉嚨 自律神經 脖子 緊張 伸展,喉嚨 自律神經 脖子 緊張 伸展,https://static.everydayhealth.com.tw/main/201702/33276002612_3dcbd03285_b.jpg,4
骨盆與髖關節都與腰痛有關，尾椎痛、骨盆痛如何緩解,https://www.everydayhealth.com.tw//article/17515,2017-12-26, 關節疼痛 骨盆 髖關節 脊椎 坐骨神經痛 腹式呼吸,骨盆 髖關節 脊椎 坐骨神經痛 腹式呼吸,https://c1.staticflickr.com/5/4599/39248442602_44d3d05f90_b.jpg,22
動動大拇指提升腦血流量1.5倍，這樣做讓腦回春,https://www.everydayhealth.com.tw//article/12141,2016-05-19, 養生保健 大腦 失智症 手指 生活習慣 神經,大腦 失智症 手指 生活習慣 神經,https://farm8.staticflickr.com/7005/26460790334_4992c235ce_b.jpg,21
讓更年期像度假！顧好卵巢有效抗老，中醫推5養生法,https://www.everydayhealth.com.tw//article/14356,2019-07-04, 中醫養生 更年期 女性荷爾蒙 食療 豆腐 菠菜 卵巢 穴道按摩,更年期 女性荷爾蒙 食療 豆腐 菠菜 卵巢 穴道按摩,https://farm4.staticflickr.com/3953/33064342675_bdd9ed5edc_b.jpg,5
癌症是「終極發炎」！研究認證：2種飲食遠離發炎之火,https://www.everydayhealth.com.tw//article/22084,2019-07-03, 健康飲食 地中海飲食 預防癌症飲食 大腸癌 抗癌 腫瘤 抗氧化 抗發炎,地中海飲食 預防癌症飲食 大腸癌 抗癌 腫瘤 抗氧化 抗發炎,https://live.staticflickr.com/65535/48178242127_b28d4e13db_b.jpg,13
大腦的毒素最怕它！防失智每天吃這匙,https://www.everydayhealth.com.tw//article/18250,2018-03-21, 健康飲食 大腦 健腦食物 失智 蜂蜜 抗老,大腦 健腦食物 失智 蜂蜜 抗老,https://c1.staticflickr.com/1/791/40001377135_2117633148_b.jpg,18
10種緩解喉嚨痛食材！半夜咳不停，這樣做立即止咳,https://www.everydayhealth.com.tw//article/10024,2015-08-06, 健康飲食 洋蔥 蜂蜜 黑豆 咳嗽 生薑 發炎 止咳,洋蔥 蜂蜜 黑豆 咳嗽 生薑 發炎 止咳,https://farm1.staticflickr.com/410/20340776311_bec0729085_b.jpg,27
抽筋怎麼辦？抽筋3大成因，緩解抽筋4種對策,https://www.everydayhealth.com.tw//article/18962,2019-05-29, 穴道導引 抽筋 腳抽筋 睡眠品質 糖尿病 肝硬化 高血壓,抽筋 腳抽筋 睡眠品質 糖尿病 肝硬化 高血壓,https://c1.staticflickr.com/1/955/28140872138_0c83664095_b.jpg,27
鬆筋就能養生！2種拉筋練習，解決失眠、手腳冰冷,https://www.everydayhealth.com.tw//article/10942,2015-12-17, 失眠問題 便祕 失眠 手腳冰冷 拉筋 腰痠背痛 養生,便祕 失眠 手腳冰冷 拉筋 腰痠背痛 養生,https://farm6.staticflickr.com/5728/23692160252_e8e2b44b26_b.jpg,15
過敏、鼻塞總是呼吸不順，醫生3分鐘解決過敏鼻塞,https://www.everydayhealth.com.tw//article/10436,2015-09-17, 養生保健 鼻塞 鼻子過敏 呼吸 咀嚼,鼻塞 鼻子過敏 呼吸 咀嚼,https://farm1.staticflickr.com/758/21294732069_2232ec3373_b.jpg,27
每次1～3分鐘，按按手腕改善口臭、失眠、胃痛,https://www.everydayhealth.com.tw//article/14984,2019-06-29, 穴道導引 口氣 口臭 穴道 按摩 穴道按摩 穴位按摩,口氣 口臭 穴道 按摩 穴道按摩 穴位按摩,https://live.staticflickr.com/65535/48101487296_1be3ee241e_b.jpg,5
少量多餐竟不利血糖控制！名醫解答了,https://www.everydayhealth.com.tw//article/22034,2019-06-29, 養生保健 糖尿病 降血糖 癌症 白飯 輕鬆控血糖,糖尿病 降血糖 癌症 白飯 輕鬆控血糖,https://live.staticflickr.com/65535/48137132061_d04f38c6a9_b.jpg,25
防退化性關節炎！吃3類食物抗發炎、減少關節退化,https://www.everydayhealth.com.tw//article/11652,2019-05-07, 健康飲食 退化性關節炎 抗發炎 軟骨 膠原蛋白 洋蔥 檸檬 大蒜,退化性關節炎 抗發炎 軟骨 膠原蛋白 洋蔥 檸檬 大蒜,https://farm2.staticflickr.com/1568/25367939324_9a15722583_b.jpg,27
這樣動不痛了！1分鐘鬆開髖關節，1個月改善關節疼痛,https://www.everydayhealth.com.tw//article/21053,2019-03-11, 關節疼痛 髖部 髖關節 退化性關節炎 活動關節運動 關節炎 關節,髖部 髖關節 退化性關節炎 活動關節運動 關節炎 關節,https://farm8.staticflickr.com/7805/46382730055_2ed027e3e9_b.jpg,12
眼白充血、浮腫，當心是這3種情況！正確處理是…,https://www.everydayhealth.com.tw//article/17473,2017-12-11, 西醫醫學 眼睛 結膜炎 過敏 乾眼症 隱形眼鏡,眼睛 結膜炎 過敏 乾眼症 隱形眼鏡,https://c1.staticflickr.com/5/4575/27130475869_32276b6c16_b.jpg,26
由指甲看出身體好不好！11種指甲表示健康亮紅燈,https://www.everydayhealth.com.tw//article/15280,2017-06-26, 養生保健 指甲 貧血 蒼白 腸胃 肝臟,指甲 貧血 蒼白 腸胃 肝臟,https://static.everydayhealth.com.tw/main/201705/34526615903_369a5c1ce0_b.jpg,7
暈眩！翻身療法兩週9成可改善！醫：併發1病況應就醫,https://www.everydayhealth.com.tw//article/17402,2018-01-12, 養生保健 暈眩 頭暈 耳鳴 復健運動 伸展運動,暈眩 頭暈 耳鳴 復健運動 伸展運動,https://c1.staticflickr.com/5/4741/27851050549_1d51318a6e_b.jpg,4
痛！肩頸壓力竟超過11公斤，1招立刻放鬆緊繃肌肉,https://www.everydayhealth.com.tw//article/14271,2017-05-10, 肩頸痠痛 肩頸僵硬 肩胛骨 腰痠背痛 放鬆,肩頸僵硬 肩胛骨 腰痠背痛 放鬆,https://farm1.staticflickr.com/260/31999176013_59d2327c12_b.jpg,14
一站起來就頭暈怎麼辦？8個方法不再天旋地轉！,https://www.everydayhealth.com.tw//article/18256,2018-03-12, 養生保健 自律神經失調 頭暈 低血壓 站立 自律神經,自律神經失調 頭暈 低血壓 站立 自律神經,https://c1.staticflickr.com/5/4798/25832681117_4866eb56e5_b.jpg,4
預防心肌梗塞！45歲後喝茶、補B群，不讓血管提早報銷,https://www.everydayhealth.com.tw//article/21997,2019-06-26, 保健新聞 三高 腦中風 腦梗塞 心肌梗塞 維生素B6 綠茶,三高 腦中風 腦梗塞 心肌梗塞 維生素B6 綠茶,https://live.staticflickr.com/65535/48125345893_51d5e36bb9_b.jpg,2
腎衰、癌症？常見症狀「水腫、嘴破、痠痛」竟是危險警報,https://www.everydayhealth.com.tw//article/22031,2019-06-26, 養生保健 嘴破 口腔癌 肩膀酸痛 心臟病 腎臟 水腫,嘴破 口腔癌 肩膀酸痛 心臟病 腎臟 水腫,https://live.staticflickr.com/65535/48125345983_6251b2d472_b.jpg,27
生理週期減肥超有效！女中醫教你掌握瘦身黃金4週期,https://www.everydayhealth.com.tw//article/5570,2018-11-11, 中醫養生 瘦身 經期 薑 減重 紅豆 黑木耳 黑木耳露,瘦身 經期 薑 減重 紅豆 黑木耳 黑木耳露,https://c2.staticflickr.com/2/1933/30838224677_7d9d455aa5_b.jpg,19
一張圖告訴你最佳蹲馬桶姿勢，不費力就能順利排便,https://www.everydayhealth.com.tw//article/13524,2017-12-26, 養生保健 排便 姿勢 大腸 消化 便祕,排便 姿勢 大腸 消化 便祕,https://farm6.staticflickr.com/5609/30240127324_518c9b2864_b.jpg,11
好不了的肩痛原來是手腕害的？2招手腕伸展讓筋膜恢復彈性！,https://www.everydayhealth.com.tw//article/21817,2019-06-24, 肩頸痠痛 肩膀酸痛 肩頸僵硬 手腕 筋膜 血液循環 身體僵硬,肩膀酸痛 肩頸僵硬 手腕 筋膜 血液循環 身體僵硬,https://live.staticflickr.com/65535/48102176542_3b7c090fbb_b.jpg,14
天然止咳強效組合！蜂蜜水加上1種家中一定有的香料，不再咳不停,https://www.everydayhealth.com.tw//article/7935,2016-06-22, 健康飲食 咳嗽 止咳 感冒 生薑 檸檬 蜂蜜,咳嗽 止咳 感冒 生薑 檸檬 蜂蜜,https://farm6.staticflickr.com/5618/20125867939_0c1f48dde3_b.jpg,8
免吃藥改善失眠困擾！入睡速度提高2.25倍,https://www.everydayhealth.com.tw//article/18143,2018-02-25, 失眠問題 睡不好 睡眠障礙 睡眠品質 好眠 失眠,睡不好 睡眠障礙 睡眠品質 好眠 失眠,https://c1.staticflickr.com/5/4668/25523137447_cf3192845b_b.jpg,3
每4人就有1人胃食道逆流！3最佳飲品不再火燒心,https://www.everydayhealth.com.tw//article/14020,2017-01-18, 健康飲食 胃食道逆流 咖啡 牛奶 果汁 胃酸,胃食道逆流 咖啡 牛奶 果汁 胃酸,https://farm1.staticflickr.com/697/32338357445_85f20f9888_b.jpg,0
喝奶茶傷心臟！心臟科醫師：改喝3種茶護心降血脂,https://www.everydayhealth.com.tw//article/17101,2017-12-14, 健康飲食 心臟病 心臟 奶茶 降血壓 高血壓 血脂,心臟病 心臟 奶茶 降血壓 高血壓 血脂,https://c1.staticflickr.com/5/4523/27247783069_24119076e8_b.jpg,2
生理期很愛睏？認識「月經關連過眠症」,https://www.everydayhealth.com.tw//article/2997,2016-10-30, 養生保健 女性 生理期 睡眠 減重,女性 生理期 睡眠 減重,https://farm2.staticflickr.com/1448/26354664031_9d56efb846_b.jpg,3
